ts,acc.x,acc.y,acc.z,acc.roll,acc.pitch,acc.impact,aqi.value,co2.ppm,co2.humidity,co2.temperature,env.humidity,env.temperature,gas.humidity,gas.pressure,gas.resistance,gas.temperature,gps.age,gps.alt,gps.lat,gps.lon,param,state,status,version,asset_id,config_ts,particles.mc_1p0,particles.mc_2p5,particles.mc_4p0,particles.nc_0p5,particles.nc_1p0,particles.nc_2p5,particles.nc_4p0,particles.mc_10p0,particles.nc_10p0,particles.typical_particle_size,fw_version.major,fw_version.minor,fw_version.patch
"2024-07-08, 8:45:44",0.05267244,0.29448682,10.163386,-1.6596961,0.29681203,0,142.84688,905,51.011,12.595,48.07129,14.885864,45.965,83.168,2027,14.33,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,5.297394,6.372589,6.990509,34.02662,41.06373,42.024666,42.06861,7.2574778,42.2102,0.5930481,1,1,0
"2024-07-08, 8:46:44",0.050278235,0.28491,10.163386,-1.6057508,0.28332838,0,137.19781,923,50.502,13.148,45.24536,15.661315,46.345,83.19,3815,15.42,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.641388,5.6096497,6.2046204,29.807743,36.132088,36.999275,36.822517,6.4958806,37.067623,0.6064453,1,1,0
"2024-07-08, 8:47:45",0.055066638,0.2873042,10.170568,-1.6180946,0.31009054,0,131.75333,925,49.346,13.74,43.969727,16.33606,44.164,83.19,5524,16.2,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.0864563,5.1405334,5.8346252,25.832644,31.59534,32.42408,32.603767,6.1677556,32.697506,0.6518707,1,1,0
"2024-07-08, 8:48:46",0.050278235,0.2896984,10.156203,-1.6338779,0.28352484,0,128.04323,924,48.162,14.352,42.816162,16.920166,42.717,83.19,6853,16.9,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.1959534,5.4374084,6.2484436,26.445927,32.345955,33.667244,33.575447,6.595246,33.712154,0.6667938,1,1,0
"2024-07-08, 8:49:47",0.047884032,0.2896984,10.151415,-1.6346482,0.27015114,0,124.698814,921,46.832,14.926,41.467285,17.453918,41.539,83.192,7991,17.49,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.356598,5.8109436,6.8348694,26.757938,33.488533,34.670174,34.97193,7.290192,34.910397,0.6919708,1,1,0
"2024-07-08, 8:50:47",0.05267244,0.2896984,10.156203,-1.6338779,0.2970258,0,121.62392,923,45.863,15.415,41.02173,17.907104,40.311,83.19,8991,18.04,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.1631165,5.5089417,6.443634,25.713991,31.957645,33.06373,33.323494,6.8971257,33.476803,0.6695709,1,1,0
"2024-07-08, 8:51:48",0.047884032,0.29209262,10.158598,-1.6469857,0.26995844,0,120.11211,924,44.651,15.909,39.77661,18.330078,39.658,83.19,9574,18.52,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.445465,5.80484,6.700348,27.7345,34.160408,35.462166,35.535408,7.1367497,35.533443,0.65541077,1,1,0
"2024-07-08, 8:52:49",0.05267244,0.29448682,10.158598,-1.660478,0.2969518,0,118.38851,937,44.018,16.325,39.538574,18.672485,38.485,83.194,10080,18.95,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.650589,4.715973,5.401764,22.946901,28.198366,29.09485,29.175905,5.6937566,29.166624,0.6562042,1,1,0
"2024-07-08, 8:53:50",0.050278235,0.2873042,10.151415,-1.621146,0.28366035,0,119.1407,953,43.136,16.648,39.01367,19.004822,38.199,83.2,10473,19.35,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.9663239,5.148468,5.916168,24.650026,30.376589,31.44446,31.627565,6.2822576,31.66223,0.65065,1,1,0
"2024-07-08, 8:54:50",0.047884032,0.29688102,10.146626,-1.675944,0.270273,0,119.25396,947,42.462,17.009,38.09204,19.317017,37.443,83.2,10852,19.69,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.769928,5.999542,6.771637,30.133915,36.77955,37.982674,38.17701,7.1048894,38.170162,0.6305237,1,1,0
"2024-07-08, 8:55:51",0.05267244,0.29448682,10.144233,-1.662828,0.29737195,0,118.48306,942,41.595,17.311,37.854004,19.588928,36.685,83.203,11117,20.01,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.8938293,6.1688538,6.981964,31.068974,37.91822,38.85865,39.132088,7.35257,39.013912,0.640152,1,1,0
"2024-07-08, 8:56:52",0.05267244,0.29209262,10.151415,-1.6481503,0.29716378,0,117.6684,949,41.209,17.562,37.036133,19.810486,36.099,83.205,11370,20.29,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.230011,5.298126,5.9431458,26.79163,32.732674,33.68287,33.95533,6.263703,33.9602,0.63027954,1,1,0
"2024-07-08, 8:57:52",0.055066638,0.29448682,10.146626,-1.662436,0.31081533,0,115.88168,937,40.481,17.781,36.816406,20.042114,35.477,83.209,11520,20.53,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.777481,4.7622375,5.415802,23.84241,29.21741,29.92444,30.02991,5.735871,30.167112,0.63952637,1,1,0
"2024-07-08, 8:58:53",0.047884032,0.29209262,10.144233,-1.6493167,0.27034038,0,114.9845,928,40.124,18.032,36.61499,20.23346,35.061,83.207,11826,20.77,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.028717,5.10318,5.791046,25.380495,31.035282,32.030525,32.164314,6.0982976,32.035397,0.63287354,1,1,0
"2024-07-08, 8:59:54",0.05746084,0.29448682,10.141838,-1.6632204,0.32448176,0,115.19168,924,39.709,18.216,35.79712,20.37445,34.872,83.207,11914,20.99,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,4.1650696,5.313507,6.124298,26.36243,32.243416,33.177986,33.27662,6.460114,33.407467,0.62664795,1,1,0
"2024-07-08, 9:00:55",0.050278235,0.29209262,10.139444,-1.6500951,0.28399116,0,113.61794,914,38.993,18.392,35.180664,20.515442,34.195,83.205,12078,21.16,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.6150055,4.6214905,5.242584,22.815554,27.924929,28.872683,28.985476,5.5390935,28.9176,0.6227112,1,1,0
"2024-07-08, 9:01:55",0.05267244,0.29448682,10.134656,-1.6643984,0.29765275,0,112.073364,897,38.571,18.539,34.87549,20.696716,33.501,83.209,12169,21.32,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.4173737,4.3719788,4.9634094,21.620241,26.38196,27.219362,27.303347,5.2418523,27.28967,0.62789917,1,1,0
"2024-07-08, 9:02:56",0.05267244,0.2896984,10.134656,-1.6373497,0.2976568,0,111.20489,886,38.203,18.681,34.960938,20.87799,33.199,83.211,12355,21.48,0,0,0,0,17,0,0,3,1819867E5B4C38C5,3,3.8026276,4.7517395,5.386261,24.242311,29.477663,30.35071,30.46985,5.6675115,30.380003,0.6225891,1,1,0
